day,name,address,city,codes,map,
"Monday, 	7:00 PM",PESCADERO GROUP,Pescadero Comm. Church	363 Stage Road,Pescadero,H,,
"Friday, 	8:00 PM",PHOENIX GROUP,"Sequoia Hospital, R Floor Conference Room  Whipple & The Alameda",Redwood City,"H,SP,Wh",,
"Tuesday, 	7:00 AM",PORTOLA VALLEY 11TH STEP,"Valley Presbyterian Church	945 Portola Road, in Bride's Room",Portola Valley ,H,,
"Thursday, RS	7:00 AM",PORTOLA VALLEY 11TH STEP,"Valley Presbyterian Church	945 Portola Road, in Bride's Room",Portola Valley ,H,,
"Monday, 	2:30 PM",PRICE OF FREEDOM GROUP,"NEW 540 Price Ave., 1st floor (closed on State Holidays)",Redwood City,"H,B,",,
"Friday, 	12:00 PM",RAP GROUP,New Life Community Church	1430 Palm Drive,Burlingame,"D,H,SP",,
"Wednesday, 	4:30 PM",RESTORED TO SANITY,Mills Hospital  100 San Mateo Drive (Sadie Thompson Room in basement),San Mateo,H,,
"Sunday, 	7:00 PM",SAN BRUNO GROUP,St. John’s Church Hall	Sylvan & Mastick,San Bruno ,Wh,,
"Wednesday, 	7:30 PM",SAN CARLOS AWARENESS GROUP,Community Church  Arroyo & Elm,San Carlos,"H,Wh",,
"Monday, 	7:00 PM",SAN CARLOS BEGINNERS,"Church of the Ephiphany, Main Hall	Arroyo & Cedar",San Carlos,H,,
"Thursday, 	7:00 PM",SAN MATEO -AS BILL SEES IT,Western Hills Church	3399 CSM Drive (New Location!),San Mateo,"H,S",,
"Tuesday, 	8:00 PM",SAN MATEO GROUP. NO 1,"Mills Health Center	100 S. San Mateo Drive, Sadie Room",San Mateo,"D,H,SP,",,
"Saturday, 	10:00 AM",Sat Morning Step,WBAC - West Bay Fellowship - Phone: 756-3322	7330 Mission Street,Daly City,,,
"Saturday, 	5:00 PM",SAT NIGHT SPEAKER/DISCUSSION,Shoreline Station	225 S. Cabrillo Hwy Rm101-C,Half Moon Bay ,"D,H,S,Wh",,
"Saturday, 	8:00 PM",SAT NITE 12 STEP STUDY GROUP,Methodist Church (Choir Room) 	777 Miramontes (2nd Floor),Half Moon Bay ,S,,
"Saturday, 	7:30 AM",SATURDAY MORNING EYE OPENER,Lutheran Church	900 N. Cabrillo Hwy.,Half Moon Bay ,,,
"Saturday, 	9:00 AM",SATURDAY MORNING SANDHILL,St. Bede’s Church 2650 Sandhill Road,Menlo Park,"H,Wh",,
"Saturday, 	8:00 PM",SATURDAY NIGHT DISCUSSION,St. Paul’s Church	405 El Camino Real,Burlingame,"D,H,SP",,
"Saturday, 	Midnight ",SATURDAY NITE LIVE,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,,,
"Sunday, 	6:30 PM",Sendero De Vida,102 Broadway,Redwood City,,,
"Monday, 	6:30 PM",Sendero De Vida,103 Broadway,Redwood City,,,
"Tuesday, 	6:30 PM",Sendero De Vida,103 Broadway,Redwood City,,,
"Wednesday, 	6:30 PM",Sendero De Vida,103 Broadway,Redwood City,,,
"Thursday, 	6:30 PM",Sendero De Vida,103 Broadway,Redwood City,,,
"Friday, 	6:30 PM",Sendero De Vida,103 Broadway,Redwood City,,,
"Saturday, 	6:30 PM",Sendero De Vida,103 Broadway,Redwood City,,,
"Wednesday, 	12:00 PM",SENIOR FOCUS,New Life Comm. Church	1430 Palm Drive,Burlingame,"D,H,SP,Wh",,
"Wednesday, 	7:00 PM",SERENITY BY THE SEA,Ted Adcock Comm. Center	535 Kelly Avenue,Half Moon Bay ,,,
"Friday, 	8:00 PM",SERENITY GROUP,St. Paul’s Church	405 El Camino Real,Burlingame,"D,H",,
"Sunday, 	7:30 PM",SERENITY IN PACIFICA,Terra Nova Church Ctr.	1125 Terra Nova,Pacifica,"D,H,Wh",,
"Monday, 	7:00 PM",SHARING CHOICES,"Peninsula Medical Center	""1501 Trousdale Conference Room H",Burlingame,"W,H",,
"Saturday, 	11:00 AM",SHARP PARK 3rd & 11th STEP,Baptist Church  2070 Francisco Blvd.,Pacifica,"H,S",,
"Sunday, 	7:00 PM",SIMPLY SPEAKING,St. Andrew's Church  1600 Santa Lucia,San Bruno ,"D,H",,
"Friday, 	12:00 PM",SINGLENESS OF PURPOSE,Good Shepherd Church	5th & O’Neill,Belmont,H,,
"Saturday, 	8:30 AM",Smart Feet,WBAC - West Bay Fellowship - Phone: 756-3322	7330 Mission Street,Daly City,"D,S",,
"Sunday, 	5:00 PM",SOBER SUNDAYS,Holy Trinity Church	Cedar & Manzanita,San Carlos,"D,H",,
"Monday, 	12:00 PM",SOUTH CITY WOMEN'S DISCUSSION,St. Elizabeth's  280 Country Club Dr.,South SF,"W,D,H,Wh",,
"Friday, 	7:30 PM",Speaker Meeting,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,H,,
"Monday, 	9:00 PM",Speaker/ Discussion,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,"D,H,SP,",,
"Monday, 	4:30 PM",Speaker/Discussion,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,H,,
"Thursday, 	7:30 PM",Speaker/Discussion,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,"D,H,SP,",,
"Saturday, 	7:00 AM",Speaker/Discussion,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,H,,
"Saturday, 	6:00 PM",Speaker/Discussion,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,H,,
"Sunday, 	7:30 PM",Speaker/Discussion.,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,H,,
"Friday, 	7:00 AM",Step Study,WBAC - West Bay Fellowship - Phone: 756-3322	7330 Mission Street,Daly City,,,
"Thursday, 	12:00 PM",STEP STUDY,Shoreline Station	225 S. Cabrillo Hwy Rm101-C,Half Moon Bay ,"S,Wh",,
"Thursday, 	12:00 PM",Step Study,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,"W,H",,
"Wednesday, 	8:00 PM",STEP STUDY GROUP,Unitarian Universalist Church	2124 Brewster,Redwood City,"H,S,Wh",,
"Tuesday, 	7:00 PM",STEPPING STONES GROUP,Good News Chapel  215 W. Orange Avenue,South SF,"H,S",,
"Tuesday, 	4:30 PM",STEPPING THRU THE BIG BOOK,St. Paul's ibrary	415 El Camino Real ,Burlingame,"H,S",,
"Thursday, 	7:00 AM",Steps / Traditions,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,H,,
"Tuesday, 	7:00 PM",STEPS TO FREEDOM,Holy Trinity Church	Cedar & Manzanita,San Carlos,"H,SP,S,Wh",,
"Monday, 	7:30 PM",STUDY THE TEXT GROUP,St. Ambrose Church	Beachpark & Edgewater,Foster City,"D,H,SP,S",,
"Sunday, 	4:00 PM",SUN AFTERNOON STEP STUDY,Library	Palmetto & Hilton,Pacifica,"C,S",,
"Sunday, 	8:00 PM",SUN NIGHT SHARING GROUP,Sequoia Hospital - R Floor Conference Room	Whipple & The Alameda,Redwood City,Wh,,
"Sunday, 	7:00 PM",Sun Nite Step,WBAC - West Bay Fellowship - Phone: 756-3322	7330 Mission Street,Daly City,H,,
"Sunday, 	6:00 PM",SUN SUNDOWNERS,St. Andrew's Church  15th Ave. & El Camino,San Mateo,,,
"Sunday, 	7:30 PM",SUNDAY NITE DISCUSSION,1st Presby Church El Camino & Easton,Burlingame,H,,
"Sunday, 	10:00 AM",Sunday Serenity,Mills Health Center	100 S. San Mateo Dr.lower level in Saidy Room,San Mateo,"H,Wh",,
"Sunday, 	8:00 PM",SUNDAY SPECIAL-AS BILL SEES IT,139 Primrose at Howard,Burlingame,H,,
"Sunday, 	9:00 AM",SUNDAY SPIRITUALITY,Carriage House Holbrook Palmer Park 150 Watkins Rd,Atherton,"H,B,SP,Wh",http://goo.gl/maps/7jr4W,
"Sunday, 	2:00 PM",SUNSHINE GROUP-Big Book Study,S M Co. Gen. Hosp	39th & Edison. 2nd Fl. Edu Conf,San Mateo,"S,Wh",,
"Sunday, 	7:30 PM",THE INDESCRIBABLY WONDERFUL MTG.,Trinity Baptist Church  39 E. 39th Avenue (enter on 38th),San Mateo,"H,SP,",,
"Thursday, 	8:15 PM",THE IRREGULARS,"Kaiser Hospital Maple & Veterans, Cypress Bldg. Rm A B or C",Redwood City,"C,D",,
"Tuesday, 	7:00 PM",THE NEW TUESDAY NITE BEGINNERS (75 Min.),"SM Co.General (Chope Hosp.)	222 W. 39th Ave, 2nd Floor, Rm. 1",San Mateo,"B,SP,Wh",,
"Wednesday, 	12:00 PM",THE OLD & THE NEW,Central Peninsula Church	1005 Shell Blvd,Foster City,"C,D,Wh",,
"Saturday, 	8:00 PM",THE SEWER GROUP,"Kaiser Hospital 	1150 Veterans Bl., Cyprus Bldg. Conf. Rom 2",Redwood City,"D,H,Wh",,
"Monday, 	7:00 AM",THE WAKE UP GROUP,Baptist Church  2070 Francisco Blvd.,Pacifica,,,
"Tuesday, 	7:00 AM",THE WAKE UP GROUP,Baptist Church  2070 Francisco Blvd.,Pacifica,,,
"Wednesday, 	7:00 AM",THE WAKE UP GROUP,Baptist Church  2070 Francisco Blvd.,Pacifica,,,
"Thursday, 	7:00 AM",THE WAKE UP GROUP,Baptist Church  2070 Francisco Blvd.,Pacifica,,,
"Friday, 	7:00 AM",THE WAKE UP GROUP,Baptist Church  2070 Francisco Blvd.,Pacifica,,,
"Thursday, 	12:00 PM",Thu Nooner,WBAC - West Bay Fellowship - Phone: 756-3322	7330 Mission Street,Daly City,"D,H,S",,
"Tuesday, 	7:30 PM",THUMPERS (Big Book Study),901 Madison Av,Redwood City,"S,Wh",,
"Tuesday, 	6:45 PM",TOOLS OF RECOVERY,St. John's Church	Sylvan & Mastick,San Bruno ,H,,
"Friday, 	4:30 PM",Tradition Discussion,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,H,,
"Sunday, 	7:00 PM",Tres Legados,171 5th Av. #210,Redwood City,E,,
"Monday, 	7:00 PM",Tres Legados,171 5th Av. #206,Redwood City,E,,
"Tuesday, 	7:00 PM",Tres Legados,171 5th Av. #210,Redwood City,E,,
"Wednesday, 	7:00 PM",Tres Legados,171 5th Av. #210,Redwood City,E,,
"Thursday, 	7:00 PM",Tres Legados,"171 5th Av, #210",Redwood City,E,,
"Friday, 	7:00 PM",Tres Legados,171 5th Av. #210,Redwood City,E,,
"Saturday, 	7:00 PM",Tres Legados,171 5th Ave #210,Redwood City,E,,
"Tuesday, 	12:00 PM",TUESDAY 12:00 NOON DISCUSSION,Baptist Church  2070 Francisco Blvd.,Pacifica,"D,H",,
"Tuesday, 	8:00 PM",TUESDAY NITE GROUP,Good Shepherd Church	301 Burlingame,Burlingame,"DSP,",,
"Thursday, 	5:00 PM",TWELVE STEP STUDY GRP,Methodist Church	560 El Camino-enter rear,San Bruno ,,,
"Sunday, 	9:00 AM",UN DIA A LA VEZ,225 S. Cabrillo Hwy Rm200A,Half Moon Bay ,E,,
"Sunday, 	8:00 PM",Vivendo en Sobriedad,Oscar's Casa	721 N. Amphlett- 271-1403,San Mateo,E,,
"Monday, 	8:00 PM",Vivendo en Sobriedad,Oscar's Casa	721 N. Amphlett- 271-1403,San Mateo,E,,
"Tuesday, 	8:00 PM",Vivendo en Sobriedad,Oscar's Casa	721 N. Amphlett- 271-1403,San Mateo,E,,
"Wednesday, 	8:00 PM",Vivendo en Sobriedad,Oscar's Casa	721 N. Amphlett- 271-1403,San Mateo,E,,
"Thursday, 	8:00 PM",Vivendo en Sobriedad,"Oscar's Casa	721 N. Amphlett, 271-1403",San Mateo,E,,
"Friday, 	8:00 PM",Vivendo en Sobriedad,Oscar's Casa	721 N. Amphlett- 271-1403,San Mateo,E,,
"Saturday, 	8:00 PM",Vivendo en Sobriedad,Oscar's Casa	721 N. Amphlett- 271-1403,San Mateo,E,,
"Friday, 	7:30 PM",WALNUT GROUP,Community Church	Arroyo & Elm,San Carlos,"H,Wh",,
"Thursday, 	6:30 PM",WATCH YOUR STEP,St. Elizabeth's  280 Country Club Dr.,South SF,S,,
"Thursday, 	8:00 PM",WE HAVE RECOVERED GROUP,"Church of the Ephiphany, Main Hall	Arroyo & Cedar",San Carlos,Wh,,
"Wednesday, 	12:00 PM",Wed High Noon,WBAC - West Bay Fellowship - Phone: 756-3322	7330 Mission Street,Daly City,"D,H,S",,
"Wednesday, 	7:30 PM",Wednesday Woodside Meeting,Woodside Methodist Church  Woodside Road and Alameda,Redwood City,,,
"Friday, 	7:30 PM",West Bay All Groups,WBAC - West Bay Fellowship - Phone: 756-3322	7330 Mission Street,Daly City,H,,
"Friday, 	8:00 PM",WESTLAKE SPEAKER DISCUSSION,Dolger Sr Ctr. Rm 7	101 Lake Merced Bl.,Daly City,"D,Wh",,
"Monday, 	6:00 PM",WOMEN'S Big Book Study,Baptist Church 2070 Francisco Blvd.,Pacifica,"C,W",,
"Tuesday, 	6:00 PM",Women's Big Book Study,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,"H,S",,
"Wednesday, 	10:30 PM",Women's Daily Reflections,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,"D,H,W",,
"Wednesday, 	6:00 PM",WOMEN'S HAPPY HOUR,WBAC - West Bay Fellowship - Phone: 756-3322	7330 Mission Street,Daly City,"W,D,H,S",,
"Thursday, 	6:00 PM",Women's Speaker/Discussion,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,"W,H",,
"Saturday, 	5:00 PM",WOMEN’S DISCUSSION,Holy Trinity Church	Cedar & Manzanita (NEW LOCATION),San Carlos,"W,D,H,S",,
"Thursday, 	10:00 AM",WOMEN’S HOME GROUP,Meeting rotates- for location call: 577-1310 - Meeting rotates -- for location call: 577-1310,Mid-Peninsula,"C,W,",,
"Tuesday, 	6:00 PM",WOMENS 12 STEP STUDY,"Methodist Church	777 Miramontes, 2nd floor in San Pedro Ridge Room",Half Moon Bay ,"W,S",,
"Thursday, 	12:00 PM",WOMENS STEP STUDY GROUP,St. Bede’s Church 2650 Sandhill Road,Menlo Park,"C,W,H,S",,
"Saturday, 	7:30 PM",WOODSIDE GROUP,Sequoia Hospital - R Floor Conference Room Whipple & The Alameda,Redwood City,Wh,,
"Friday, 	6:30 PM",YOUNG PEOPLE TRAVELING MTG,meet @Starbuck's	17th & El Camino-San Mateo,Mid-Peninsula,YP,,
"Friday, 	6:30 PM",YP Traveling Meeting,Meet at Starbucks	 17th & El Camino,San Mateo,YP,,
